2025-04-20 13:12:13,035 - __main__ - INFO - Loaded configuration from config.ini
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing option 'data_dir = ./Data/' to section [PATHS] from defaults.
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing option 'max_context_tokens = 4000' to section [PARAMETERS] from defaults.
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing option 'max_chars_per_element = 1000' to section [PARAMETERS] from defaults.
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing option 'pptx_merge_threshold_words = 50' to section [PARAMETERS] from defaults.
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing section [SUPPORTED_EXTENSIONS] from defaults.
2025-04-20 13:12:13,035 - __main__ - INFO - Added missing option 'extensions = .pdf, .xlsx, .csv, .pptx' to section [SUPPORTED_EXTENSIONS] from defaults.
2025-04-20 13:12:13,042 - __main__ - INFO - Initializing RAG system. Device: cuda, Supported files: ('.pdf', '.xlsx', '.csv', '.pptx')
2025-04-20 13:12:13,044 - sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cuda
2025-04-20 13:12:13,044 - sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-04-20 13:12:17,503 - __main__ - INFO - Local embedding model loaded successfully
2025-04-20 13:12:17,632 - __main__ - INFO - Groq LLM client initialized (meta-llama/llama-4-scout-17b-16e-instruct)
2025-04-20 13:12:17,635 - __main__ - INFO - Processing 1 supported files from ./Data/
2025-04-20 13:12:17,636 - __main__ - INFO - --- Processing (1/1): proposal.pdf ---
2025-04-20 13:12:17,638 - __main__ - INFO - Loaded 234 chunks from ./Faiss_index/proposal.json
2025-04-20 13:12:17,648 - __main__ - INFO - Loaded FAISS index for proposal.pdf (234 vectors)
2025-04-20 13:12:17,649 - __main__ - INFO - Verified existing data for proposal.pdf
2025-04-20 13:12:17,649 - __main__ - INFO - --- Processing Complete. Indexed 1/1 documents. ---
2025-04-20 13:12:49,525 - __main__ - INFO - Loaded configuration from config.ini
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing option 'data_dir = ./Data/' to section [PATHS] from defaults.
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing option 'max_context_tokens = 4000' to section [PARAMETERS] from defaults.
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing option 'max_chars_per_element = 1000' to section [PARAMETERS] from defaults.
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing option 'pptx_merge_threshold_words = 50' to section [PARAMETERS] from defaults.
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing section [SUPPORTED_EXTENSIONS] from defaults.
2025-04-20 13:12:49,526 - __main__ - INFO - Added missing option 'extensions = .pdf, .xlsx, .csv, .pptx' to section [SUPPORTED_EXTENSIONS] from defaults.
2025-04-20 13:12:49,533 - __main__ - INFO - Initializing RAG system. Device: cuda, Supported files: ('.pdf', '.xlsx', '.csv', '.pptx')
2025-04-20 13:12:49,535 - sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cuda
2025-04-20 13:12:49,535 - sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-04-20 13:12:54,435 - __main__ - INFO - Local embedding model loaded successfully
2025-04-20 13:12:54,564 - __main__ - INFO - Groq LLM client initialized (meta-llama/llama-4-scout-17b-16e-instruct)
2025-04-20 13:12:54,566 - __main__ - INFO - Processing 1 supported files from ./Data/
2025-04-20 13:12:54,567 - __main__ - INFO - --- Processing (1/1): proposal.pdf ---
2025-04-20 13:12:54,567 - __main__ - INFO - Chunks file not found at ./Faiss_index/proposal.json
2025-04-20 13:12:54,575 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,577 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,577 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,577 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,578 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,578 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,578 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,579 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,579 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,579 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,580 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,580 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,581 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,581 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,581 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,582 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,582 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,583 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,583 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,583 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,584 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,584 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,585 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,585 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,585 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,586 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,587 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,587 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,588 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,588 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,588 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,589 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-20 13:12:54,589 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
